Error analyzing ./tasks/task_246/step_4.py: invalid syntax (<unknown>, line 44)
Error analyzing ./tasks/task_198/step_3.py: invalid syntax (<unknown>, line 20)
Error analyzing ./tasks/task_198/step_2.py: invalid syntax (<unknown>, line 20)
Error analyzing ./tasks/task_198/step_4.py: invalid syntax (<unknown>, line 20)
Error analyzing ./tasks/task_195/step_2.py: invalid syntax (<unknown>, line 9)
Error analyzing ./tasks/task_207/step_2.py: invalid syntax (<unknown>, line 14)
Error analyzing ./tasks/task_257/step_3.py: invalid syntax (<unknown>, line 42)
Error analyzing ./tasks/task_257/step_2.py: invalid syntax (<unknown>, line 42)
Error analyzing ./tasks/task_252/step_3.py: '{' was never closed (<unknown>, line 122)
Error analyzing ./tasks/task_252/step_5.py: '{' was never closed (<unknown>, line 122)
Error analyzing ./tasks/task_252/step_2.py: '{' was never closed (<unknown>, line 122)
Error analyzing ./tasks/task_252/step_4.py: '{' was never closed (<unknown>, line 122)
Error analyzing ./tasks/task_239/step_2.py: invalid syntax (<unknown>, line 25)
Error analyzing ./tasks/task_131/step_3.py: unterminated triple-quoted string literal (detected at line 84) (<unknown>, line 5)
Error analyzing ./tasks/task_249/step_3.py: invalid syntax (<unknown>, line 72)
Error analyzing ./tasks/task_249/step_2.py: invalid syntax (<unknown>, line 72)
Error analyzing ./tasks/task_249/step_4.py: invalid syntax (<unknown>, line 72)
Analyzed 116 functions
